layer,avg_U_similarity_ft,avg_V_similarity_ft,min_U_similarity_ft,max_U_similarity_ft,spectral_intruder_count_ft,layer_id,module,drift_U_ft,drift_V_ft,spectral_drift_ft,model_ft,avg_U_similarity_lora,avg_V_similarity_lora,min_U_similarity_lora,max_U_similarity_lora,spectral_intruder_count_lora,drift_U_lora,drift_V_lora,spectral_drift_lora,model_lora,delta_ft_lora
model.layers.6.self_attn.q_proj.weight,0.9995879590511322,0.9995917588472366,0.9972721934318542,0.9999889135360718,0,6,q_proj,0.00041204094886782006,0.0004082411527633889,0.000820282101631209,finetuned,1.000000074505806,1.00000019967556,0.9999999403953552,1.000000238418579,0,-7.450580596923828e-08,-1.9967556008637644e-07,-2.741813660556147e-07,lora,0.0008205562829972646
model.layers.6.self_attn.k_proj.weight,0.99932359457016,0.9993207424879074,0.9954630136489868,0.9999906420707704,0,6,k_proj,0.0006764054298400435,0.0006792575120926347,0.0013556629419326782,finetuned,1.000000062584877,1.00000019967556,0.9999998807907104,1.000000238418579,0,-6.258487705856908e-08,-1.9967556008637644e-07,-2.622604371449455e-07,lora,0.0013559252023698232
model.layers.6.self_attn.v_proj.weight,0.7974040269851684,0.7973935276269912,-0.9988877773284912,0.9998979568481444,2,6,v_proj,0.20259597301483157,0.20260647237300877,2.4052024453878404,finetuned,1.00000002682209,1.000000113248825,0.9999998807907104,1.000000238418579,0,-2.682209010451686e-08,-1.1324882498442435e-07,-1.400709150889412e-07,lora,2.4052025854587553
model.layers.6.self_attn.o_proj.weight,0.9999459564685822,0.9999435126781464,0.9998226761817932,0.999995231628418,0,6,o_proj,5.404353141780227e-05,5.6487321853593286e-05,0.00011053085327139556,finetuned,1.0000000208616258,1.0000000536441802,0.9999998807907104,1.0000003576278689,0,-2.086162576020456e-08,-5.364418020903372e-08,-7.450580596923828e-08,lora,0.0001106053590773648
model.layers.6.mlp.gate_proj.weight,0.9998995840549468,0.9999121218919754,0.9996698498725892,0.9999870657920836,0,6,gate_proj,0.0001004159450531672,8.787810802457496e-05,0.00018829405307774216,finetuned,1.0000000536441802,0.9999998837709428,0.9999997615814208,1.0000003576278689,0,-5.364418020903372e-08,1.162290571565805e-07,6.258487694754677e-08,lora,0.00018823146820079462
model.layers.6.mlp.up_proj.weight,0.997960439324379,0.997975817322731,0.9902123212814332,0.9999645948410034,0,6,up_proj,0.002039560675621055,0.002024182677269004,0.004063743352890059,finetuned,1.000000047683716,0.9999999940395355,0.9999998807907104,1.000000238418579,0,-4.7683716086766026e-08,5.960464455334602e-09,-4.1723251631431424e-08,lora,0.0040637850761416905
model.layers.6.mlp.down_proj.weight,0.9995877474546432,0.9995711386203766,0.9985257387161256,0.9999961853027344,0,6,down_proj,0.0004122525453568171,0.0004288613796233909,0.000841113924980208,finetuned,1.0000000447034836,1.0000001788139343,0.9999998807907104,1.000000238418579,0,-4.470348358154297e-08,-1.7881393432617188e-07,-2.2351741790771484e-07,lora,0.0008413374423981157
model.layers.7.self_attn.q_proj.weight,0.8999283581972122,0.8999302804470062,-0.9995035529136658,0.9999943971633912,1,7,q_proj,0.10007164180278783,0.10006971955299382,1.2001413613557816,finetuned,1.0000000447034836,1.0000001639127731,0.9999998211860656,1.000000238418579,0,-4.470348358154297e-08,-1.6391277313232422e-07,-2.086162567138672e-07,lora,1.2001415699720384
model.layers.7.self_attn.k_proj.weight,0.9995763599872588,0.9995748311281204,0.9983192086219788,0.999981164932251,0,7,k_proj,0.0004236400127411999,0.00042516887187959984,0.0008488088846207997,finetuned,1.0000000447034836,1.000000074505806,0.9999998807907104,1.0000001192092896,0,-4.470348358154297e-08,-7.450580596923828e-08,-1.1920928955078125e-07,lora,0.0008489280939103505
model.layers.7.self_attn.v_proj.weight,0.797128427028656,0.7971128314733505,-0.9968113899230956,0.9996747970581056,3,7,v_proj,0.20287157297134395,0.20288716852664945,3.4057587414979933,finetuned,1.0000000298023224,1.000000175833702,0.9999999403953552,1.0000001192092896,0,-2.9802322387695312e-08,-1.7583370204299342e-07,-2.0563602443068874e-07,lora,3.405758947134018
