layer,avg_U_similarity,avg_V_similarity,min_U_similarity,max_U_similarity,spectral_intruder_count
model.layers.5.self_attn.k_proj.weight,0.999836939573288,0.9998330652713776,0.9992495775222778,0.9999910593032837,0
model.layers.5.self_attn.v_proj.weight,0.7979447066783905,0.797929534316063,-0.9973263740539551,0.9992581605911255,2
model.layers.5.self_attn.o_proj.weight,0.5979374647140503,0.5979366064071655,-0.9999487400054932,0.9999921321868896,4
model.layers.5.mlp.gate_proj.weight,0.9999300003051758,0.9999373912811279,0.9996777772903442,0.9999917149543762,0
model.layers.5.mlp.up_proj.weight,0.9983654737472534,0.9983849614858628,0.993173360824585,0.9999250769615173,0
model.layers.5.mlp.down_proj.weight,0.9997402757406235,0.9997264266014099,0.9988235831260681,0.9999968409538269,0
model.layers.6.self_attn.q_proj.weight,0.9995879590511322,0.9995917588472366,0.9972721934318542,0.9999889135360718,0
model.layers.6.self_attn.k_proj.weight,0.99932359457016,0.9993207424879074,0.9954630136489868,0.9999906420707703,0
model.layers.6.self_attn.v_proj.weight,0.7974040269851684,0.7973935276269912,-0.9988877773284912,0.9998979568481445,2
model.layers.6.self_attn.o_proj.weight,0.9999459564685822,0.9999435126781464,0.9998226761817932,0.999995231628418,0
model.layers.6.mlp.gate_proj.weight,0.9998995840549469,0.9999121218919754,0.9996698498725891,0.9999870657920837,0
model.layers.6.mlp.up_proj.weight,0.997960439324379,0.997975817322731,0.9902123212814331,0.9999645948410034,0
model.layers.6.mlp.down_proj.weight,0.9995877474546433,0.9995711386203766,0.9985257387161255,0.9999961853027344,0
model.layers.7.self_attn.q_proj.weight,0.8999283581972122,0.8999302804470062,-0.9995035529136658,0.9999943971633911,1
model.layers.7.self_attn.k_proj.weight,0.9995763599872589,0.9995748311281204,0.9983192086219788,0.999981164932251,0
model.layers.7.self_attn.v_proj.weight,0.797128427028656,0.7971128314733505,-0.9968113899230957,0.9996747970581055,3
model.layers.7.self_attn.o_proj.weight,0.7995527654886245,0.7995488315820694,-0.9998376965522766,0.9999892115592957,2
model.layers.7.mlp.gate_proj.weight,0.9998888820409775,0.9999022275209427,0.9995317459106445,0.9999904036521912,0
model.layers.7.mlp.up_proj.weight,0.8986894220113755,0.8987053841352463,-0.9996234178543091,0.9999757409095764,1
model.layers.7.mlp.down_proj.weight,0.999796986579895,0.9997817784547806,0.9993024468421936,0.9999983906745911,0
model.layers.8.self_attn.q_proj.weight,0.9997539550065995,0.9997558921575547,0.9987128973007202,0.9999990463256836,0
model.layers.8.self_attn.k_proj.weight,0.9990157812833786,0.9990133911371231,0.9911397099494934,0.9999992847442627,0
model.layers.8.self_attn.v_proj.weight,0.8932196795940399,0.8932135850191116,-0.9998601078987122,0.9996013045310974,1
model.layers.8.self_attn.o_proj.weight,0.9995730310678482,0.9995721191167831,0.9984369277954102,0.9999911785125732,0
model.layers.8.mlp.gate_proj.weight,0.899911767244339,0.8999240666627883,-0.9999520778656006,0.999989926815033,1
model.layers.8.mlp.up_proj.weight,0.9988893181085586,0.9989110887050628,0.9971975088119507,0.9999567270278931,0
model.layers.8.mlp.down_proj.weight,0.9967741549015046,0.9967618346214294,0.9685559272766113,0.9999982714653015,0
model.layers.9.self_attn.q_proj.weight,0.8999526858329773,0.8999553203582764,-0.9990988969802856,0.9999949932098389,1
model.layers.9.self_attn.k_proj.weight,0.9998415499925614,0.9998373478651047,0.9993218183517456,0.9999915957450867,0
model.layers.9.self_attn.v_proj.weight,0.7968018829822541,0.7967886209487915,-0.9982054233551025,0.9999794363975525,2
model.layers.9.self_attn.o_proj.weight,0.9997962534427642,0.9997928857803344,0.9990928769111633,0.9999918937683105,0
model.layers.9.mlp.gate_proj.weight,0.9999036699533462,0.9999183148145676,0.9997023344039917,0.9999898076057434,0
model.layers.9.mlp.up_proj.weight,0.9987296104431153,0.9987492680549621,0.9918548464775085,0.999962329864502,0
model.layers.9.mlp.down_proj.weight,-0.2996695011854172,-0.29966517388820646,-0.9999133348464966,0.999998152256012,13
model.layers.10.self_attn.q_proj.weight,0.9998397678136826,0.99984190762043,0.9993059635162354,0.9999918937683105,0
model.layers.10.self_attn.k_proj.weight,0.9999044388532639,0.9999013602733612,0.9995574951171875,0.9999958276748657,0
model.layers.10.self_attn.v_proj.weight,0.3971384048461914,0.3971348375082016,-0.9997784495353699,0.9989376664161682,6
model.layers.10.self_attn.o_proj.weight,0.6995470225811005,0.6995440065860749,-0.999986469745636,0.9999908804893494,3
model.layers.10.mlp.gate_proj.weight,0.8999576926231384,0.8999698907136917,-0.9999604821205139,0.9999904632568359,1
model.layers.10.mlp.up_proj.weight,0.7986395478248596,0.7986579209566116,-0.9993162155151367,0.9999746084213257,2
