layer,avg_U_similarity,avg_V_similarity,min_U_similarity,max_U_similarity,spectral_intruder_count
model.layers.11.mlp.up_proj.weight,1.000000038743019,1.0000001430511474,0.9999996423721313,1.000000238418579,0
model.layers.11.mlp.down_proj.weight,1.0000000506639481,1.0000000864267349,0.9999998211860657,1.000000238418579,0
model.layers.12.self_attn.q_proj.weight,1.0000000238418578,1.0000001221895218,0.9999998807907104,1.000000238418579,0
model.layers.12.self_attn.k_proj.weight,1.0000000417232513,1.0000001907348632,0.9999999403953552,1.000000238418579,0
model.layers.12.self_attn.v_proj.weight,1.0000000506639481,1.0000000655651093,0.9999999403953552,1.000000238418579,0
model.layers.12.self_attn.o_proj.weight,1.000000038743019,1.000000011920929,0.9999998211860657,1.000000238418579,0
model.layers.12.mlp.gate_proj.weight,1.0000000476837159,0.9999999940395355,0.9999997615814209,1.0000003576278687,0
model.layers.12.mlp.up_proj.weight,1.0000000089406966,1.0000001549720765,0.9999997615814209,1.000000238418579,0
model.layers.12.mlp.down_proj.weight,1.000000038743019,1.0000002712011338,0.9999998807907104,1.000000238418579,0
model.layers.13.self_attn.q_proj.weight,1.000000035762787,1.0000000685453414,0.9999999403953552,1.000000238418579,0
model.layers.13.self_attn.k_proj.weight,1.0000000566244125,1.0000000864267349,0.9999999403953552,1.000000238418579,0
model.layers.13.self_attn.v_proj.weight,1.0000000685453414,1.0000001817941666,0.9999999403953552,1.000000238418579,0
model.layers.13.self_attn.o_proj.weight,1.0000000566244125,1.0000001549720765,0.9999998807907104,1.000000238418579,0
model.layers.13.mlp.gate_proj.weight,1.0000000655651093,1.000000101327896,0.9999998807907104,1.000000238418579,0
model.layers.13.mlp.up_proj.weight,1.000000062584877,1.000000062584877,0.9999998807907104,1.0000003576278687,0
model.layers.13.mlp.down_proj.weight,1.0000000566244125,1.0000004321336746,0.9999998807907104,1.000000238418579,0
model.layers.14.self_attn.q_proj.weight,1.0000000536441802,1.0000000566244125,0.9999998211860657,1.000000238418579,0
model.layers.14.self_attn.k_proj.weight,1.0000000536441802,0.9999999374151229,1.0,1.0000001192092896,0
model.layers.14.self_attn.v_proj.weight,1.0000000238418578,1.000000149011612,0.9999998807907104,1.0000001192092896,0
model.layers.14.self_attn.o_proj.weight,1.000000038743019,1.0000001460313797,0.9999998807907104,1.000000238418579,0
model.layers.14.mlp.gate_proj.weight,1.0000000715255737,1.0000000059604646,0.9999998211860657,1.000000238418579,0
model.layers.14.mlp.up_proj.weight,1.0000000655651093,0.9999999552965164,0.9999998211860657,1.000000238418579,0
model.layers.14.mlp.down_proj.weight,1.00000002682209,1.0000004172325134,0.9999997615814209,1.000000238418579,0
model.layers.15.self_attn.q_proj.weight,1.00000002682209,1.00000019967556,0.9999998807907104,1.000000238418579,0
model.layers.15.self_attn.k_proj.weight,1.000000062584877,0.9999999850988388,0.9999999403953552,1.000000238418579,0
model.layers.15.self_attn.v_proj.weight,1.000000062584877,0.9999999642372132,0.9999998807907104,1.000000238418579,0
model.layers.15.self_attn.o_proj.weight,1.0000000566244125,1.0000000685453414,0.9999998211860657,1.0000003576278687,0
model.layers.15.mlp.gate_proj.weight,1.0000000089406966,1.000000011920929,0.9999998807907104,1.000000238418579,0
model.layers.15.mlp.up_proj.weight,1.0000000536441802,1.0000000566244125,0.9999997615814209,1.000000238418579,0
model.layers.15.mlp.down_proj.weight,1.0000000566244125,1.0000006049871444,0.9999998807907104,1.000000238418579,0
model.layers.16.self_attn.q_proj.weight,1.0000000506639481,1.0000000059604646,0.9999997615814209,1.000000238418579,0
model.layers.16.self_attn.k_proj.weight,1.0000000596046448,1.000000062584877,0.9999999403953552,1.000000238418579,0
model.layers.16.self_attn.v_proj.weight,1.000000035762787,1.0000001162290573,0.9999998807907104,1.000000238418579,0
model.layers.16.self_attn.o_proj.weight,1.000000038743019,1.0000000447034836,0.9999997615814209,1.0000003576278687,0
model.layers.16.mlp.gate_proj.weight,1.000000074505806,1.0000000596046448,0.9999997615814209,1.000000238418579,0
model.layers.16.mlp.up_proj.weight,1.0000001072883606,0.9999999314546585,0.9999998807907104,1.0000003576278687,0
model.layers.16.mlp.down_proj.weight,1.0000000834465026,0.9999998450279236,1.0,1.000000238418579,0
model.layers.17.self_attn.q_proj.weight,1.000000035762787,1.000000184774399,0.9999998807907104,1.000000238418579,0
model.layers.17.self_attn.k_proj.weight,1.00000002682209,1.0000001549720765,0.9999998807907104,1.000000238418579,0
model.layers.17.self_attn.v_proj.weight,1.0000000447034836,1.0000000447034836,0.9999998807907104,1.000000238418579,0
model.layers.17.self_attn.o_proj.weight,1.0000000536441802,1.0000001072883606,0.9999998807907104,1.000000238418579,0
model.layers.17.mlp.gate_proj.weight,1.0000000447034836,0.9999999970197677,0.9999998211860657,1.0000003576278687,0
model.layers.17.mlp.up_proj.weight,1.0000000447034836,1.0000000804662705,0.9999998807907104,1.000000238418579,0
model.layers.17.mlp.down_proj.weight,1.0000000476837159,1.00000039935112,0.9999998807907104,1.000000238418579,0
model.layers.18.self_attn.q_proj.weight,1.0000000923871994,0.9999998539686203,0.9999998807907104,1.000000238418579,0
model.layers.18.self_attn.k_proj.weight,1.0000000238418578,1.0000000149011612,0.9999998211860657,1.0000001192092896,0
model.layers.18.self_attn.v_proj.weight,1.0000000476837159,0.9999999672174453,0.9999998807907104,1.000000238418579,0
model.layers.18.self_attn.o_proj.weight,1.0000000417232513,1.0000000208616258,0.9999998807907104,1.000000238418579,0
